shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Route_213,43.4675965494204,-3.80188241601036,19025,3859
Route_213,43.4677883337725,-3.80112771451269,19026,3924
Route_213,43.4678398801237,-3.80092486739204,19027,3941
Route_213,43.4679070392253,-3.80069822073028,19028,3961
Route_213,43.467978091527,-3.80047693848656,19029,3980
Route_213,43.4680812632136,-3.80014434456871,19030,4010
Route_213,43.4682418602998,-3.79960924387023,19031,4056
Route_213,43.4682554866996,-3.79955425858543,19032,4061
Route_213,43.468273006352,-3.79948720336006,19033,4067
Route_213,43.4682837128037,-3.79941076040313,19034,4073
Route_213,43.46829344594,-3.79935711622283,19035,4078
Route_213,43.4683148588343,-3.79916936159179,19036,4093
Route_213,43.4683644977875,-3.79858329892203,19037,4141
Route_213,43.4684355495514,-3.79780545830771,19038,4204
Route_213,43.4684478096315,-3.79764033373146,19039,4218
Route_213,43.4684744819893,-3.7972810864453,19040,4247
Route_213,43.4684793485423,-3.79719659686133,19041,4254
Route_213,43.4684793485423,-3.79714429378554,19042,4258
Route_213,43.4684744819893,-3.79710674285933,19043,4261
Route_213,43.4684647488822,-3.79705309867903,19044,4265
Route_213,43.4684482025965,-3.79697799682661,19045,4272
Route_213,43.4684081521936,-3.7969436645483,19046,4276
Route_213,43.4682847694949,-3.79687204957097,19047,4286
Route_213,43.4682361037908,-3.79687607288449,19048,4291
Route_213,43.4681981445142,-3.79689887166111,19049,4296
Route_213,43.4680414405821,-3.79701822996228,19050,4316
Route_213,43.4679392421466,-3.79709199071019,19051,4328
Route_213,43.4673776343268,-3.79727035760968,19052,4392
Route_213,43.4673464878133,-3.79729449749081,19053,4396
Route_213,43.4671304084333,-3.79756674170583,19054,4429
Route_213,43.4668763681743,-3.79790872335523,19055,4469
Route_213,43.4667517809904,-3.79810988903135,19056,4490
Route_213,43.4663965114389,-3.79881262779326,19057,4559
Route_213,43.4661522015765,-3.79930347204299,19058,4607
