service_id,date,exception_type
25101INA_10102,20260509,1
25101INA_10102,20260516,1
25101INA_10102,20260523,1
25101INA_10102,20260530,1
25101INA_10102,20260606,1
25101INA_10102,20260613,1
25101INA_10102,20260620,1
25101INA_10102,20260627,1
25101INA_10103,20251220,1
25101INA_10103,20251227,1
25101INA_10103,20260103,1
25101INA_10103,20260110,1
25101INA_10103,20260117,1
25101INA_10103,20260124,1
25101INA_10103,20260131,1
25101INA_10103,20260207,1
25101INA_10103,20260214,1
25101INA_10103,20260221,1
25101INA_10103,20260228,1
25101INA_10103,20260307,1
25101INA_10103,20260314,1
25101INA_10103,20260321,1
25101INA_10103,20260328,1
25101INA_10103,20260404,1
25101INA_10103,20260411,1
25101INA_10103,20260418,1
25101INA_10103,20260425,1
25101INA_10103,20260502,1
25101INA_10103,20260509,1
25101INA_10103,20260516,1
25101INA_10103,20260523,1
25101INA_10103,20260530,1
25101INA_10103,20260606,1
25101INA_10103,20260613,1
25101INA_10103,20260620,1
25101INA_10103,20260627,1
25102INA_10201,20251220,1
25102INA_10201,20251227,1
25102INA_10201,20260103,1
25102INA_10201,20260110,1
25102INA_10201,20260117,1
25102INA_10201,20260124,1
25102INA_10201,20260131,1
25102INA_10201,20260207,1
25102INA_10201,20260214,1
25102INA_10201,20260221,1
25102INA_10201,20260228,1
25102INA_10201,20260307,1
25102INA_10201,20260314,1
25102INA_10201,20260321,1
25102INA_10201,20260328,1
25102INA_10201,20260404,1
25102INA_10201,20260411,1
25102INA_10201,20260418,1
25102INA_10201,20260425,1
25102INA_10201,20260502,1
25102INA_10201,20260509,1
25102INA_10201,20260516,1
25102INA_10201,20260523,1
25102INA_10201,20260530,1
25102INA_10201,20260606,1
25102INA_10201,20260613,1
25102INA_10201,20260620,1
25102INA_10201,20260627,1
25103INA_10301,20251220,1
25103INA_10301,20251227,1
25103INA_10301,20260103,1
25103INA_10301,20260110,1
25103INA_10301,20260117,1
25103INA_10301,20260124,1
25103INA_10301,20260131,1
25103INA_10301,20260207,1
25103INA_10301,20260214,1
25103INA_10301,20260221,1
25103INA_10301,20260228,1
25103INA_10301,20260307,1
25103INA_10301,20260314,1
25103INA_10301,20260321,1
25103INA_10301,20260328,1
25103INA_10301,20260404,1
25103INA_10301,20260411,1
25103INA_10301,20260418,1
25103INA_10301,20260425,1
25103INA_10301,20260502,1
25103INA_10301,20260509,1
25103INA_10301,20260516,1
25103INA_10301,20260523,1
25103INA_10301,20260530,1
25103INA_10301,20260606,1
25103INA_10301,20260613,1
25103INA_10301,20260620,1
25103INA_10301,20260627,1
25241ISB_24101,20251220,1
25241ISB_24101,20251227,1
25241ISB_24101,20260103,1
25241ISB_24101,20260110,1
25241ISB_24101,20260117,1
25241ISB_24101,20260124,1
25241ISB_24101,20260131,1
25241ISB_24101,20260207,1
25241ISB_24101,20260214,1
25241ISB_24101,20260221,1
25241ISB_24101,20260228,1
25241ISB_24101,20260307,1
25241ISB_24101,20260314,1
25241ISB_24101,20260321,1
25241ISB_24101,20260328,1
25241ISB_24101,20260404,1
25241ISB_24101,20260411,1
25241ISB_24101,20260418,1
25241ISB_24101,20260425,1
25241ISB_24101,20260502,1
25241ISB_24101,20260509,1
25241ISB_24101,20260516,1
25241ISB_24101,20260523,1
25241ISB_24101,20260530,1
25241ISB_24101,20260606,1
25241ISB_24101,20260613,1
25241ISB_24101,20260620,1
25241ISB_24101,20260627,1
25241ISB_24102,20251220,1
25241ISB_24102,20251227,1
25241ISB_24102,20260103,1
25241ISB_24102,20260110,1
25241ISB_24102,20260117,1
25241ISB_24102,20260124,1
25241ISB_24102,20260131,1
25241ISB_24102,20260207,1
25241ISB_24102,20260214,1
25241ISB_24102,20260221,1
25241ISB_24102,20260228,1
25241ISB_24102,20260307,1
25241ISB_24102,20260314,1
25241ISB_24102,20260321,1
25241ISB_24102,20260328,1
25241ISB_24102,20260404,1
25241ISB_24102,20260411,1
25241ISB_24102,20260418,1
25241ISB_24102,20260425,1
25241ISB_24102,20260502,1
25241ISB_24102,20260509,1
25241ISB_24102,20260516,1
25241ISB_24102,20260523,1
25241ISB_24102,20260530,1
25241ISB_24102,20260606,1
25241ISB_24102,20260613,1
25241ISB_24102,20260620,1
25241ISB_24102,20260627,1
25241ISB_24103,20251220,1
25241ISB_24103,20251227,1
25241ISB_24103,20260103,1
25241ISB_24103,20260110,1
25241ISB_24103,20260117,1
25241ISB_24103,20260124,1
25241ISB_24103,20260131,1
25241ISB_24103,20260207,1
25241ISB_24103,20260214,1
25241ISB_24103,20260221,1
25241ISB_24103,20260228,1
25241ISB_24103,20260307,1
25241ISB_24103,20260314,1
25241ISB_24103,20260321,1
25241ISB_24103,20260328,1
25241ISB_24103,20260404,1
25241ISB_24103,20260411,1
25241ISB_24103,20260418,1
25241ISB_24103,20260425,1
25241ISB_24103,20260502,1
25241ISB_24103,20260509,1
25241ISB_24103,20260516,1
25241ISB_24103,20260523,1
25241ISB_24103,20260530,1
25241ISB_24103,20260606,1
25241ISB_24103,20260613,1
25241ISB_24103,20260620,1
25241ISB_24103,20260627,1
25242ISB_24201,20251220,1
25242ISB_24201,20251227,1
25242ISB_24201,20260103,1
25242ISB_24201,20260110,1
25242ISB_24201,20260117,1
25242ISB_24201,20260124,1
25242ISB_24201,20260131,1
25242ISB_24201,20260207,1
25242ISB_24201,20260214,1
25242ISB_24201,20260221,1
25242ISB_24201,20260228,1
25242ISB_24201,20260307,1
